Instance,Nombre de projets (N),Nombre de ressources (M),Profit optimal,[Greedy] Profit,[Repair] Profit,[Hill Climbing] Profit,Écart [Greedy],Écart [Repair],Écart [Hill Climbing]
1,6,10,3800.0,3800.0,3800.0,3800.0,0.0,0.0,0.0
2,10,10,8706.1,8336.9,8248.7,8336.9,0.04240704793190989,0.05253787574229559,0.04240704793190989
3,15,10,4015.0,3825.0,2135.0,4015.0,0.047322540473225407,0.46824408468244083,0.0
4,20,10,6120.0,6010.0,2665.0,6120.0,0.017973856209150325,0.5645424836601307,0.0
5,28,10,12400.0,12400.0,8400.0,12400.0,0.0,0.3225806451612903,0.0
6,39,5,10618.0,9888.0,3631.0,10520.0,0.06875117724618572,0.6580335279713694,0.009229610096063288
7,50,5,16537.0,15832.0,9917.0,16440.0,0.04263167442704239,0.40031444639293706,0.0058656346374795915
1,6,10,3800.0,3800.0,3700.0,3800.0,0.0,0.02631578947368421,0.0
2,10,10,8706.1,8336.9,5179.6,8336.9,0.04240704793190989,0.4050608194254603,0.04240704793190989
3,15,10,4015.0,3825.0,1645.0,4015.0,0.047322540473225407,0.5902864259028643,0.0
4,20,10,6120.0,6010.0,3130.0,6120.0,0.017973856209150325,0.48856209150326796,0.0
5,28,10,12400.0,12400.0,4890.0,12400.0,0.0,0.6056451612903225,0.0
6,39,5,10618.0,9888.0,6594.0,10520.0,0.06875117724618572,0.37897909210774156,0.009229610096063288
7,50,5,16537.0,15832.0,8315.0,16440.0,0.04263167442704239,0.4971881236016206,0.0058656346374795915
1,6,10,3800.0,3800.0,3800.0,0,3800.0,0.0,0.0,1.0,0.0,0.0004134178161621094,0.00022411346435546875,0,8.632387638092041
2,10,10,8706.1,8336.9,8318.3,0,6509.2,0.04240704793190989,0.04454348100756953,1.0,0.25234031311379385,0.0006377696990966797,0.00042700767517089844,0,10.019668102264404
3,15,10,4015.0,3825.0,3825.0,0,3825.0,0.047322540473225407,0.047322540473225407,1.0,0.047322540473225407,0.0011272430419921875,0.0003979206085205078,0,11.475490093231201
4,20,10,6120.0,6010.0,5760.0,0,5760.0,0.017973856209150325,0.058823529411764705,1.0,0.058823529411764705,0.0011320114135742188,0.0008177757263183594,0,15.002373218536377
5,28,10,12400.0,12400.0,12150.0,0,12150.0,0.0,0.020161290322580645,1.0,0.020161290322580645,0.001683950424194336,0.0010890960693359375,0,17.85479211807251
1,6,10,3800.0,3800.0,3800.0,3800.0,3800.0,0.0,0.0,0.0,0.0,0.0032732486724853516,0.0002338886260986328,0.0008029937744140625,8.275819063186646
2,10,10,8706.1,8336.9,8318.3,8336.9,6509.2,0.04240704793190989,0.04454348100756953,0.04240704793190989,0.25234031311379385,0.0006499290466308594,0.00039505958557128906,0.0001552104949951172,10.112030982971191
3,15,10,4015.0,3825.0,3825.0,3965.0,3825.0,0.047322540473225407,0.047322540473225407,0.012453300124533,0.047322540473225407,0.0009200572967529297,0.0008208751678466797,0.001987934112548828,15.780251264572144
4,20,10,6120.0,6010.0,5760.0,6010.0,5760.0,0.017973856209150325,0.058823529411764705,0.017973856209150325,0.058823529411764705,0.0016677379608154297,0.0010559558868408203,0.00041985511779785156,14.45374321937561
5,28,10,12400.0,12400.0,12150.0,12400.0,12150.0,0.0,0.020161290322580645,0.0,0.020161290322580645,0.0014910697937011719,0.0014171600341796875,0.0012841224670410156,19.325747966766357
1,6,10,3800.0,3800.0,3800.0,3800.0,3800.0,0.0,0.0,0.0,0.0,0.0025970935821533203,0.00023984909057617188,0.0008177757263183594,8.069765090942383
2,10,10,8706.1,8336.9,8318.3,8336.9,6509.2,0.04240704793190989,0.04454348100756953,0.04240704793190989,0.25234031311379385,0.0008792877197265625,0.000537872314453125,0.0001678466796875,11.220999240875244
3,15,10,4015.0,3825.0,3825.0,3965.0,3825.0,0.047322540473225407,0.047322540473225407,0.012453300124533,0.047322540473225407,0.0016748905181884766,0.0005850791931152344,0.0024700164794921875,13.129409074783325
4,20,10,6120.0,6010.0,5760.0,6010.0,5760.0,0.017973856209150325,0.058823529411764705,0.017973856209150325,0.058823529411764705,0.0017461776733398438,0.0008978843688964844,0.0003657341003417969,13.916842937469482
5,28,10,12400.0,12400.0,12150.0,12400.0,12150.0,0.0,0.020161290322580645,0.0,0.020161290322580645,0.0014417171478271484,0.0010380744934082031,0.0005099773406982422,18.1092209815979
6,39,5,10618.0,9888.0,8771.0,9888.0,8771.0,0.06875117724618572,0.17394989640233566,0.06875117724618572,0.17394989640233566,0.0017042160034179688,0.0015132427215576172,0.00025010108947753906,17.882095098495483
7,50,5,16537.0,15832.0,15614.0,15832.0,15614.0,0.04263167442704239,0.05581423474632642,0.04263167442704239,0.05581423474632642,0.001661062240600586,0.002176046371459961,0.00031304359436035156,21.470310926437378
1,6,10,3800.0,3800.0,3800.0,3800.0,3800.0,0.0,0.0,0.0,0.0,0.002573728561401367,0.00025391578674316406,0.0008139610290527344,10.463890075683594
2,10,10,8706.1,8336.9,8318.3,8336.9,6509.2,0.04240704793190989,0.04454348100756953,0.04240704793190989,0.25234031311379385,0.0009567737579345703,0.0005600452423095703,0.00017881393432617188,13.65197491645813
3,15,10,4015.0,3825.0,3825.0,3965.0,3825.0,0.047322540473225407,0.047322540473225407,0.012453300124533,0.047322540473225407,0.0022809505462646484,0.0006611347198486328,0.0018279552459716797,15.960917949676514
4,20,10,6120.0,6010.0,5760.0,6010.0,5760.0,0.017973856209150325,0.058823529411764705,0.017973856209150325,0.058823529411764705,0.003316164016723633,0.001180887222290039,0.0005190372467041016,15.550948143005371
